wavelength	spectrum
350	2.88E-02
351	4.32E-02
352	7.55E-02
353	7.15E-02
354	7.29E-02
355	7.74E-02
356	6.17E-02
357	6.51E-02
358	0.07388448
359	0.076544426
360	0.050782423
361	4.20E-02
362	6.32E-02
363	5.90E-02
364	5.97E-02
365	6.18E-02
366	5.35E-02
367	5.74E-02
368	6.10E-02
369	0.054752029
370	6.30E-02
371	6.55E-02
372	6.01E-02
373	5.48E-02
374	5.64E-02
375	5.81E-02
376	4.36E-02
377	5.30E-02
378	6.35E-02
379	6.51E-02
380	5.77E-02
381	5.72E-02
382	6.18E-02
383	5.50E-02
384	6.39E-02
385	7.40E-02
386	0.066558838
387	7.01E-02
388	7.20E-02
389	6.86E-02
390	6.47E-02
391	6.83E-02
392	7.55E-02
393	7.56E-02
394	7.60E-02
395	7.52E-02
396	7.11E-02
397	7.29E-02
398	7.62E-02
399	0.079792745
400	7.38E-02
401	7.64E-02
402	8.16E-02
403	7.78E-02
404	7.44E-02
405	7.18E-02
406	7.04E-02
407	0.071747713
408	7.54E-02
409	8.02E-02
410	7.72E-02
411	7.62E-02
412	7.64E-02
413	0.077263668
414	7.76E-02
415	0.078924648
416	8.17E-02
417	0.07922563
418	7.87E-02
419	7.96E-02
420	8.03E-02
421	8.37E-02
422	8.63E-02
423	8.48E-02
424	8.34E-02
425	8.39E-02
426	8.63E-02
427	8.46E-02
428	8.69E-02
429	9.00E-02
430	8.56E-02
431	8.73E-02
432	8.93E-02
433	8.84E-02
434	0.089840941
435	8.97E-02
436	8.84E-02
437	9.19E-02
438	9.31E-02
439	9.30E-02
440	9.17E-02
441	9.43E-02
442	9.61E-02
443	9.54E-02
444	9.57E-02
445	9.56E-02
446	9.54E-02
447	9.62E-02
448	9.75E-02
449	9.90E-02
450	0.100165516
451	0.100738794
452	0.101156779
453	0.101497434
454	0.101637349
455	0.102778517
456	0.104126118
457	0.103142306
458	0.104162119
459	0.104790702
460	0.10332454
461	0.104031213
462	0.104919367
463	0.105816312
464	0.10725341
465	0.108273558
466	0.108589463
467	0.107240148
468	0.10735964
469	0.1073884
470	0.106686272
471	0.108363658
472	0.109971002
473	0.111332335
474	0.111852854
475	0.111634463
476	0.1112931
477	0.111494564
478	0.111245632
479	0.112492464
480	0.115704715
481	0.113192558
482	0.113390364
483	0.115026504
484	0.114220016
485	0.115608566
486	0.116767168
487	0.115903348
488	0.116235718
489	0.117317341
490	0.118940234
491	0.118597537
492	0.119164027
493	0.12000306
494	0.11995852
495	0.120105095
496	0.120958976
497	0.122897156
498	0.123159029
499	0.123749293
500	0.12465813
501	0.125275135
502	0.125052348
503	0.125
504	0.126471758
505	0.127468064
506	0.12761867
507	0.126768455
508	0.128748372
509	0.12974757
510	0.130052418
511	0.130412072
512	0.131203994
513	0.132166192
514	0.133173585
515	0.133059368
516	0.133528978
517	0.134750381
518	0.135444626
519	0.136158139
520	0.136863276
521	0.137500897
522	0.138367221
523	0.139107898
524	0.139534026
525	0.140292794
526	0.140894264
527	0.141392365
528	0.142476395
529	0.142798081
530	0.143069267
531	0.144255206
532	0.145004362
533	0.145704404
534	0.146460995
535	0.146869272
536	0.147469863
537	0.148187101
538	0.148725554
539	0.149587467
540	0.150583029
541	0.151613533
542	0.15204519
543	0.152423665
544	0.152852491
545	0.153876871
546	0.154681042
547	0.155415386
548	0.156441346
549	0.157257259
550	0.1578812
551	0.158274576
552	0.158669606
553	0.159109056
554	0.159677163
555	0.161212206
556	0.162003204
557	0.162568212
558	0.16360718
559	0.163920537
560	0.164300382
561	0.165010929
562	0.165674806
563	0.166319788
564	0.167013794
565	0.168131039
566	0.168652803
567	0.169048131
568	0.169721469
569	0.170467407
570	0.171225876
571	0.171989799
572	0.172928408
573	0.173452646
574	0.173850998
575	0.174902886
576	0.175794169
577	0.176546052
578	0.177130729
579	0.177736133
580	0.17828843
581	0.178773805
582	0.17911756
583	0.179381669
584	0.179737866
585	0.180547848
