wavelength	spectrum
350	4.17E-02
351	4.78E-02
352	8.50E-02
353	7.89E-02
354	6.52E-02
355	4.96E-02
356	5.24E-02
357	6.08E-02
358	6.72E-02
359	6.23E-02
360	3.27E-02
361	2.62E-02
362	5.68E-02
363	4.98E-02
364	5.27E-02
365	5.87E-02
366	4.59E-02
367	4.59E-02
368	0.049510196
369	0.050850436
370	5.51E-02
371	5.89E-02
372	6.20E-02
373	6.51E-02
374	5.93E-02
375	5.01E-02
376	4.70E-02
377	5.01E-02
378	5.20E-02
379	4.91E-02
380	4.87E-02
381	5.39E-02
382	0.062286377
383	5.69E-02
384	5.86E-02
385	6.39E-02
386	7.08E-02
387	6.69E-02
388	0.060457818
389	5.35E-02
390	6.06E-02
391	6.59E-02
392	6.78E-02
393	5.90E-02
394	6.00E-02
395	6.43E-02
396	6.78E-02
397	6.25E-02
398	5.99E-02
399	0.061558872
400	6.61E-02
401	6.63E-02
402	6.51E-02
403	6.79E-02
404	6.56E-02
405	6.32E-02
406	6.30E-02
407	6.56E-02
408	6.68E-02
409	0.066950299
410	7.03E-02
411	7.08E-02
412	6.97E-02
413	6.82E-02
414	0.069721058
415	7.26E-02
416	7.62E-02
417	6.93E-02
418	6.77E-02
419	7.02E-02
420	7.22E-02
421	7.42E-02
422	7.53E-02
423	7.46E-02
424	7.35E-02
425	7.45E-02
426	7.78E-02
427	7.58E-02
428	7.60E-02
429	7.70E-02
430	7.56E-02
431	0.077187292
432	7.86E-02
433	7.80E-02
434	7.86E-02
435	7.84E-02
436	7.77E-02
437	8.03E-02
438	8.20E-02
439	0.082610659
440	8.14E-02
441	8.30E-02
442	8.38E-02
443	8.27E-02
444	8.45E-02
445	8.50E-02
446	8.44E-02
447	8.40E-02
448	8.39E-02
449	8.44E-02
450	8.60E-02
451	8.60E-02
452	8.64E-02
453	8.76E-02
454	8.86E-02
455	8.77E-02
456	8.61E-02
457	8.74E-02
458	8.89E-02
459	9.00E-02
460	9.04E-02
461	9.08E-02
462	0.090756468
463	9.04E-02
464	9.30E-02
465	9.32E-02
466	9.21E-02
467	9.18E-02
468	9.25E-02
