wavelength	spectrum
350	3.37E-02
351	4.41E-02
352	6.85E-02
353	5.49E-02
354	4.24E-02
355	3.46E-02
356	4.48E-02
357	6.29E-02
358	7.62E-02
359	6.82E-02
360	3.81E-02
361	2.49E-02
362	4.00E-02
363	4.20E-02
364	4.49E-02
365	4.65E-02
366	3.76E-02
367	4.41E-02
368	4.76E-02
369	3.30E-02
370	4.73E-02
371	0.055142879
372	5.22E-02
373	4.15E-02
374	4.02E-02
375	4.36E-02
376	4.33E-02
377	4.19E-02
378	3.97E-02
379	3.64E-02
380	4.90E-02
381	5.20E-02
382	4.61E-02
383	4.26E-02
384	4.36E-02
385	4.64E-02
386	4.84E-02
387	5.04E-02
388	5.28E-02
389	5.58E-02
390	5.28E-02
391	5.64E-02
392	6.20E-02
393	5.29E-02
394	4.94E-02
395	4.91E-02
396	5.06E-02
397	5.12E-02
398	5.29E-02
399	5.61E-02
400	5.95E-02
401	0.059225395
402	5.80E-02
403	6.14E-02
404	5.68E-02
405	0.050649606
406	4.56E-02
407	4.81E-02
408	0.052534431
409	5.74E-02
410	0.055086363
411	5.46E-02
412	5.58E-02
413	5.97E-02
414	5.53E-02
415	5.32E-02
416	5.65E-02
417	0.054475762
418	5.27E-02
419	5.16E-02
420	5.43E-02
421	5.73E-02
422	5.86E-02
423	5.57E-02
424	5.55E-02
425	5.72E-02
426	6.03E-02
427	5.62E-02
428	0.057207465
429	6.03E-02
430	5.95E-02
431	6.01E-02
432	6.03E-02
433	5.91E-02
434	5.89E-02
435	5.87E-02
436	5.86E-02
437	6.18E-02
438	6.38E-02
439	6.43E-02
440	6.17E-02
441	0.061947938
442	6.22E-02
443	0.061491597
444	6.30E-02
445	6.30E-02
446	0.062101562
447	6.24E-02
448	6.26E-02
449	6.34E-02
450	6.59E-02
451	6.55E-02
452	6.55E-02
453	6.67E-02
454	6.76E-02
455	6.65E-02
456	6.47E-02
457	6.67E-02
458	6.76E-02
459	6.82E-02
460	6.84E-02
461	6.81E-02
462	6.87E-02
463	7.01E-02
464	6.99E-02
465	6.99E-02
466	6.98E-02
467	6.95E-02
468	6.94E-02
469	6.89E-02
470	6.78E-02
471	6.91E-02
472	7.05E-02
473	7.20E-02
474	7.35E-02
475	7.28E-02
476	7.12E-02
477	6.94E-02
478	6.99E-02
479	7.13E-02
480	7.35E-02
481	7.25E-02
482	7.23E-02
483	7.27E-02
484	7.29E-02
485	7.39E-02
486	7.39E-02
487	7.17E-02
488	7.29E-02
489	0.073899433
490	7.44E-02
491	7.46E-02
492	7.55E-02
493	7.61E-02
494	7.48E-02
495	7.49E-02
496	7.59E-02
497	7.76E-02
498	7.83E-02
499	7.87E-02
500	7.88E-02
501	7.90E-02
502	7.88E-02
503	7.86E-02
504	7.90E-02
505	7.93E-02
506	7.93E-02
507	7.90E-02
508	7.98E-02
509	8.00E-02
510	7.98E-02
511	8.09E-02
512	8.15E-02
513	8.20E-02
514	8.27E-02
515	8.18E-02
516	8.18E-02
517	8.30E-02
518	8.42E-02
519	8.45E-02
520	8.42E-02
521	8.43E-02
522	8.48E-02
523	8.54E-02
524	8.59E-02
525	8.63E-02
526	8.63E-02
527	8.60E-02
528	8.73E-02
529	8.77E-02
530	8.78E-02
531	8.81E-02
532	8.84E-02
533	8.88E-02
534	8.93E-02
535	8.98E-02
536	9.02E-02
537	9.06E-02
538	9.08E-02
539	9.13E-02
540	9.20E-02
541	9.27E-02
542	9.28E-02
543	9.27E-02
544	9.23E-02
545	9.30E-02
546	9.36E-02
547	9.42E-02
548	9.50E-02
549	9.56E-02
550	9.61E-02
551	9.63E-02
552	9.59E-02
553	9.60E-02
554	9.65E-02
555	9.70E-02
556	9.80E-02
557	9.90E-02
558	9.95E-02
559	9.93E-02
560	9.93E-02
561	9.96E-02
562	9.96E-02
563	1.00E-01
564	0.100643694
565	0.101157457
566	0.10158094
567	0.101906255
568	0.102084287
569	0.102622777
570	0.103232637
571	0.103857867
572	0.104194976
573	0.10450384
574	0.104806252
575	0.105164051
576	0.105967842
577	0.106472932
578	0.106145121
579	0.106088854
580	0.106267095
581	0.10663832
582	0.106732026
583	0.106626622
584	0.106489427
585	0.106615506
586	0.106750146
587	0.106893629
588	0.107046932
589	0.107695453
590	0.107999168
591	0.108119421
592	0.109246843
593	0.109512791
594	0.109675996
595	0.110532418
596	0.110856541
597	0.111169226
598	0.111587048
599	0.112522118
600	0.112826578
601	0.112834774
602	0.113553643
603	0.113818236
604	0.114008062
605	0.114356346
606	0.11456535
607	0.114752367
608	0.114936799
609	0.115228921
610	0.115614422
611	0.116167866
612	0.117127985
613	0.117129982
614	0.116804413
615	0.116332538
616	0.117694624
617	0.118609995
618	0.118987136
619	0.118979871
620	0.119028538
621	0.119041093
622	0.118892416
623	0.118502073
624	0.11845459
625	0.118930176
626	0.119246483
627	0.119243167
628	0.119062498
629	0.119147755
630	0.11960014
631	0.119949125
632	0.119808756
633	0.120003171
634	0.120449401
635	0.121106751
636	0.121319383
637	0.121288061
638	0.121222511
639	0.121560335
