wavelength	spectrum
350	6.47E-02
351	6.53E-02
352	0.064230315
353	0.0638244
354	6.08E-02
355	5.64E-02
356	5.70E-02
357	7.21E-02
358	8.50E-02
359	7.65E-02
360	3.99E-02
361	2.83E-02
362	5.72E-02
363	0.059920248
364	6.44E-02
365	6.81E-02
366	6.20E-02
367	5.97E-02
368	5.74E-02
369	5.16E-02
370	6.19E-02
371	6.86E-02
372	6.88E-02
373	5.47E-02
374	6.07E-02
375	7.09E-02
376	5.31E-02
377	5.21E-02
378	5.73E-02
379	6.51E-02
380	5.61E-02
381	5.64E-02
382	6.48E-02
383	6.56E-02
384	7.30E-02
385	7.89E-02
386	7.24E-02
387	6.86E-02
388	6.59E-02
389	6.38E-02
390	6.66E-02
391	7.10E-02
392	7.47E-02
393	6.95E-02
394	6.81E-02
395	7.04E-02
396	7.75E-02
397	7.47E-02
398	7.42E-02
399	7.74E-02
400	8.01E-02
401	8.26E-02
402	0.083601214
403	7.93E-02
404	7.87E-02
405	7.79E-02
406	0.074884333
407	0.078132689
408	8.10E-02
409	8.28E-02
410	8.29E-02
411	8.21E-02
412	8.22E-02
413	8.63E-02
414	8.47E-02
415	8.44E-02
416	8.77E-02
417	8.21E-02
418	8.16E-02
419	8.48E-02
420	8.56E-02
421	8.95E-02
422	0.092554122
423	9.10E-02
424	8.81E-02
425	8.83E-02
426	9.21E-02
427	9.06E-02
428	9.11E-02
429	9.24E-02
430	0.092010073
431	9.23E-02
432	0.092946857
433	9.38E-02
434	9.55E-02
435	9.55E-02
436	0.094206803
437	9.67E-02
438	9.91E-02
439	0.100530744
440	9.91E-02
441	0.100085847
442	0.100632317
443	9.98E-02
444	0.102502137
445	0.103083365
446	0.102163903
447	0.103383213
448	0.104711458
449	0.10590551
450	0.106651314
451	0.106461242
452	0.106950551
453	0.108457051
454	0.10899061
455	0.108440764
456	0.107669704
457	0.109421127
458	0.110646002
459	0.111056119
460	0.110188469
461	0.110630326
462	0.111560218
463	0.112824351
464	0.113656767
465	0.11429479
466	0.114415705
467	0.113096826
468	0.113604128
469	0.113837168
470	0.112901755
471	0.115467802
472	0.117169388
473	0.118069284
474	0.11928194
475	0.118810333
476	0.118125513
477	0.118856475
478	0.118690759
479	0.119525783
480	0.12182121
481	0.121409938
482	0.121988826
483	0.123012081
484	0.12274605
485	0.123382717
486	0.123755522
487	0.12294583
488	0.124008633
489	0.125166044
490	0.126180172
491	0.126696929
492	0.128155723
493	0.129447922
494	0.128187969
495	0.128238454
496	0.129149631
497	0.130918875
498	0.131362334
499	0.131915614
500	0.13261719
501	0.133301303
502	0.133585542
503	0.134038314
504	0.135462344
505	0.135963872
506	0.136160389
507	0.136181533
508	0.137478158
509	0.138568148
510	0.139443725
511	0.139947891
512	0.140853703
513	0.141723216
514	0.142218098
515	0.142038301
516	0.142544076
517	0.143831581
518	0.144088224
519	0.145217225
520	0.146561369
521	0.146761
522	0.147602975
523	0.148271859
524	0.148350134
525	0.149977013
526	0.150933653
527	0.151309446
528	0.152910233
529	0.15349853
530	0.153897136
531	0.155153662
532	0.155606344
533	0.155868068
534	0.156089604
535	0.15692082
536	0.158021599
537	0.159293965
538	0.160418779
539	0.160895497
540	0.1613051
541	0.162123814
542	0.162769303
543	0.163441792
544	0.164177999
545	0.165074155
546	0.165817186
547	0.166587248
548	0.167879745
549	0.168592989
550	0.169185042
551	0.169870913
552	0.170573771
553	0.171362028
554	0.17221415
555	0.172849551
