wavelength	spectrum
350	5.41E-02
351	5.51E-02
352	6.78E-02
353	0.045878068
354	3.92E-02
355	4.58E-02
356	4.92E-02
357	5.39E-02
358	5.72E-02
359	5.55E-02
360	4.08E-02
361	3.68E-02
362	5.03E-02
363	4.55E-02
364	4.92E-02
365	5.56E-02
366	4.62E-02
367	3.92E-02
368	3.56E-02
369	3.70E-02
370	5.69E-02
371	0.064572699
372	5.72E-02
373	5.10E-02
374	4.84E-02
375	4.73E-02
376	4.45E-02
377	4.88E-02
378	5.31E-02
379	5.41E-02
380	5.02E-02
381	5.20E-02
382	5.79E-02
383	5.29E-02
384	5.34E-02
385	5.60E-02
386	5.71E-02
387	5.04E-02
388	4.97E-02
389	5.92E-02
390	5.25E-02
391	0.058092076
392	6.89E-02
393	6.22E-02
394	0.058635376
395	5.84E-02
396	6.27E-02
397	5.60E-02
398	5.53E-02
399	6.20E-02
400	5.89E-02
401	6.01E-02
402	6.30E-02
403	6.25E-02
404	5.97E-02
405	0.056685284
406	5.41E-02
407	5.46E-02
408	5.66E-02
409	0.059565831
410	5.93E-02
411	5.95E-02
412	5.96E-02
413	5.87E-02
414	5.92E-02
415	6.07E-02
416	6.33E-02
417	6.02E-02
418	5.84E-02
419	5.80E-02
420	6.10E-02
421	6.38E-02
422	6.48E-02
423	6.17E-02
424	6.28E-02
425	6.43E-02
426	6.56E-02
427	6.34E-02
428	6.38E-02
429	6.48E-02
430	0.062508188
431	6.43E-02
432	6.58E-02
433	6.45E-02
434	6.57E-02
435	0.06646575
436	6.67E-02
437	6.72E-02
438	6.75E-02
439	0.067775548
440	6.85E-02
441	6.90E-02
442	6.93E-02
443	6.93E-02
444	6.94E-02
445	6.96E-02
446	7.00E-02
447	7.02E-02
448	7.09E-02
449	7.18E-02
450	7.26E-02
451	7.20E-02
452	7.16E-02
453	7.18E-02
454	7.37E-02
455	7.36E-02
456	7.25E-02
457	7.30E-02
458	7.36E-02
459	7.43E-02
460	0.074944757
461	7.51E-02
462	7.59E-02
463	7.74E-02
464	7.85E-02
465	7.76E-02
466	7.59E-02
467	7.55E-02
468	7.61E-02
469	7.60E-02
470	0.074491523
471	7.70E-02
472	0.078566737
473	7.91E-02
474	7.94E-02
475	7.93E-02
476	7.89E-02
477	7.84E-02
478	7.92E-02
479	8.07E-02
480	8.28E-02
481	8.18E-02
482	8.11E-02
483	8.08E-02
484	8.13E-02
485	8.25E-02
486	8.30E-02
487	8.17E-02
488	8.18E-02
489	8.26E-02
490	8.40E-02
491	8.39E-02
492	8.39E-02
493	8.39E-02
494	8.33E-02
495	8.44E-02
496	8.57E-02
497	8.65E-02
498	8.70E-02
499	0.087356798
500	8.77E-02
501	0.088452123
502	0.08839874
503	8.82E-02
504	8.88E-02
505	8.89E-02
506	8.87E-02
507	8.82E-02
508	8.97E-02
509	9.06E-02
510	9.10E-02
511	9.13E-02
512	9.09E-02
513	9.10E-02
514	9.29E-02
515	9.20E-02
516	9.21E-02
517	9.35E-02
518	0.094233975
519	9.49E-02
520	9.53E-02
521	9.55E-02
522	9.58E-02
523	0.096087821
524	9.64E-02
525	9.74E-02
526	9.78E-02
527	9.79E-02
528	9.97E-02
529	9.95E-02
530	9.90E-02
531	9.98E-02
532	0.100033201
533	0.10030932
534	0.100895509
535	0.101085901
536	0.101589292
537	0.102319285
538	0.102979586
539	0.10339877
540	0.103770025
541	0.104243763
542	0.104941867
543	0.105347127
544	0.105390139
545	0.105546497
546	0.106247723
547	0.107165314
548	0.107585497
549	0.10810858
550	0.108506367
551	0.108625963
552	0.109178275
553	0.109526962
554	0.109706886
555	0.110579655
556	0.11138691
557	0.112162903
558	0.112951554
559	0.112681732
560	0.112570688
561	0.11303217
562	0.113531113
563	0.113923304
564	0.114267565
565	0.114872403
566	0.11551518
567	0.116065949
568	0.116360433
569	0.116606951
570	0.117164955
571	0.118096061
572	0.11859522
573	0.11872863
574	0.11871849
575	0.119137526
576	0.119936466
577	0.120591082
578	0.120747119
579	0.120696895
580	0.120920636
581	0.12139947
582	0.121340245
583	0.121269874
584	0.121273376
585	0.121551029
586	0.121959366
587	0.122355446
588	0.122678153
589	0.122985527
590	0.123306364
591	0.123725414
592	0.124786071
593	0.125186995
594	0.125503823
595	0.126335949
596	0.126626953
597	0.126930743
598	0.127372295
599	0.128223628
600	0.128784731
601	0.129098639
602	0.129191324
603	0.129501864
604	0.129927605
605	0.130441114
606	0.130674094
607	0.130905718
608	0.131178737
609	0.131656811
610	0.132005513
611	0.13235867
612	0.132985398
613	0.13314876
614	0.13318193
615	0.133191004
616	0.134094849
617	0.13479051
618	0.135251269
619	0.13568832
620	0.135679036
621	0.135465488
622	0.135233656
623	0.135174111
624	0.135347843
625	0.135798037
626	0.135794193
627	0.135788172
628	0.135874704
629	0.136452079
630	0.136848077
631	0.137098268
632	0.137173668
633	0.13727586
634	0.137720168
635	0.138498425
636	0.13844344
637	0.138673097
638	0.138977289
639	0.138940632
640	0.139635772
641	0.140296757
642	0.140574127
643	0.14048852
644	0.14071539
645	0.141233891
646	0.14161256
647	0.141566485
648	0.141440317
649	0.141650602
650	0.142172962
651	0.142712757
652	0.143192932
653	0.143608406
654	0.143603906
655	0.143383175
656	0.14371413
657	0.144242629
658	0.144729957
659	0.144966468
660	0.144943878
661	0.145059451
662	0.145376056
663	0.145671993
664	0.146049604
665	0.146405995
666	0.146482885
667	0.146843776
668	0.14714995
669	0.147210464
670	0.147861794
671	0.148128897
672	0.148068756
673	0.148805812
674	0.148911089
675	0.148905158
676	0.149484396
677	0.149488121
678	0.14954327
679	0.149848163
680	0.150195256
681	0.150586978
682	0.150937334
683	0.150830939
684	0.151377842
685	0.151937202
686	0.151947886
687	0.152229786
688	0.152559623
689	0.152891293
690	0.152983129
691	0.153196141
692	0.153440773
693	0.15349789
694	0.153790548
695	0.154145166
696	0.154486373
697	0.154851407
698	0.155063555
699	0.155113801
700	0.155057803
701	0.155489609
702	0.156020656
703	0.156087384
704	0.156745285
705	0.157199979
706	0.15713039
707	0.157186225
708	0.157576978
709	0.158142179
710	0.158095062
711	0.1582416
712	0.158479556
713	0.158750489
714	0.159242138
715	0.159500271
716	0.15942362
717	0.159486338
718	0.159746855
719	0.16011709
720	0.160396188
721	0.160669029
722	0.160898685
723	0.161046088
724	0.161680683
725	0.161953166
726	0.16184029
727	0.162198976
728	0.162351131
729	0.162483573
730	0.162917048
731	0.163157329
732	0.163316682
733	0.16342327
734	0.163926512
735	0.164159983
736	0.164182454
737	0.164429322
738	0.164914265
739	0.165301204
740	0.165152147
741	0.165524736
742	0.165820882
743	0.165898889
744	0.166353822
745	0.166547999
746	0.166611254
747	0.166917428
748	0.167178139
749	0.167469278
750	0.167857051
751	0.168038592
752	0.168175325
753	0.168309316
754	0.168774441
755	0.16909799
756	0.169374242
757	0.169764712
758	0.169674575
759	0.169676244
760	0.170053706
761	0.17036584
762	0.170653418
763	0.170918837
764	0.171153188
765	0.171404243
766	0.171625242
767	0.171738267
768	0.171859637
769	0.172107995
770	0.172530323
771	0.172674716
772	0.17286481
773	0.173085779
774	0.173293963
775	0.173411563
776	0.173547283
777	0.173798963
778	0.17397505
779	0.174195185
780	0.174477696
781	0.174786627
782	0.17514804
783	0.175463557
784	0.175486147
785	0.1753342
786	0.17535463
787	0.175773054
788	0.176136747
789	0.176384717
790	0.176498681
791	0.176347017
792	0.17652902
793	0.17684865
794	0.177104026
795	0.17740497
796	0.177528664
797	0.177380353
798	0.177488536
799	0.177854002
800	0.178260431
801	0.177787334
802	0.177988812
803	0.178440392
804	0.178856492
805	0.178699359
806	0.178774789
807	0.179212928
808	0.179450363
809	0.179608092
